date,latitude,cloud_type,rh_percent,temperature_c,solar_energy_kwh_m2,predicted_liters_per_day
2025-04-21,43.6532,7.0,65.0,12.0,3.6737867048408663,3.132050723987216
2025-04-21,43.6532,8.0,65.0,12.0,3.7146737886167966,3.1648830522592877
2025-04-21,43.6532,9.0,65.0,12.0,3.6949994750369113,3.14908457845464
2025-04-21,43.6532,10.0,65.0,12.0,3.6949994750369104,3.149084578454639
2025-04-26,43.6532,0.0,65.0,12.0,7.680207842927423,6.3492068978707215
2025-04-26,43.6532,1.0,65.0,12.0,7.676354529758552,6.346112687396118
2025-04-26,43.6532,2.0,65.0,12.0,5.432318111651208,4.54415144365592
2025-04-26,43.6532,3.0,65.0,12.0,4.075498776470067,3.4546255175054643
2025-04-26,43.6532,4.0,65.0,12.0,3.3894387920371942,2.903719350005867
2025-04-26,43.6532,5.0,65.0,12.0,3.3894387920371942,2.903719350005867
2025-04-26,43.6532,6.0,65.0,12.0,3.297084704031417,2.829559017337228
2025-04-26,43.6532,7.0,65.0,12.0,3.947651861087309,3.351964444453109
2025-04-26,43.6532,8.0,65.0,12.0,3.990838232039283,3.3866431003275443
2025-04-26,43.6532,9.0,65.0,12.0,3.9724339758934337,3.3718644826424273
2025-04-26,43.6532,10.0,65.0,12.0,3.9724339758934337,3.3718644826424273
2025-05-01,43.6532,0.0,65.0,12.0,7.774038305145551,6.424552759031878
2025-05-01,43.6532,1.0,65.0,12.0,7.770811386296739,6.421961543196282
2025-05-01,43.6532,2.0,65.0,12.0,5.742665521435745,4.793360413712904
2025-05-01,43.6532,3.0,65.0,12.0,3.82558615384303,3.253945681535953
2025-05-01,43.6532,4.0,65.0,12.0,3.069418593253286,2.6467431303823887
2025-05-01,43.6532,5.0,65.0,12.0,3.0694185932532863,2.6467431303823887
2025-05-01,43.6532,6.0,65.0,12.0,3.044891474329969,2.6270478538869653
2025-05-01,43.6532,7.0,65.0,12.0,3.793327153953539,3.228041704624692
2025-05-01,43.6532,8.0,65.0,12.0,3.7647505746191405,3.20509471141917
2025-05-01,43.6532,9.0,65.0,12.0,3.7465425157086956,3.1904736401140825
2025-05-01,43.6532,10.0,65.0,12.0,3.7465425157086947,3.190473640114082
2025-05-06,43.6532,0.0,65.0,12.0,7.966966000571025,6.579473698458534
2025-05-06,43.6532,1.0,65.0,12.0,7.963339813725397,6.576561870421495
2025-05-06,43.6532,2.0,65.0,12.0,5.952894946952556,4.962174642402903
2025-05-06,43.6532,3.0,65.0,12.0,3.966258331364842,3.366905440085968
2025-05-06,43.6532,4.0,65.0,12.0,3.1988381105755566,2.750667002792172
2025-05-06,43.6532,5.0,65.0,12.0,3.1988381105755566,2.750667002792172
2025-05-06,43.6532,6.0,65.0,12.0,3.152566266238341,2.7135107117893877
2025-05-06,43.6532,7.0,65.0,12.0,3.983528850969313,3.3807736673283584
2025-05-06,43.6532,8.0,65.0,12.0,3.944175893696836,3.3491732426385594
2025-05-06,43.6532,9.0,65.0,12.0,3.927137769636356,3.335491629017994
2025-05-06,43.6532,10.0,65.0,12.0,3.927137769636356,3.335491629017994
2025-05-11,43.6532,0.0,65.0,12.0,8.158836889887294,6.733546022579498
2025-05-11,43.6532,1.0,65.0,12.0,8.156201792690045,6.731430039530107
2025-05-11,43.6532,2.0,65.0,12.0,6.035668143597826,5.028641519309055
